Club Type	7 Iron
Sample Freq	17045
Radar Freq 10.5 GHz
Voltage A2D Data:	
1039	
-1031	
-165	
1678	
-403	
2883	
-1113	
-1001	
209	
231	
-359	
694	
258	
-31	
541	
-1351	
748	
1366	
-161	
-71	
-116	
1395	
571	
-212	
-1748	
-729	
3600	
1102	
57	
-796	
-581	
-131	
208	
-2591	
23	
649	
-290	
1256	
1507	
-346	
1207	
-992	
492	
62	
-1475	
-883	
360	
-39	
-774	
-552	
376	
1100	
385	
2387	
715	
-1469	
-1290	
114	
-921	
532	
383	
1810	
474	
-543	
-373	
888	
371	
-801	
1982	
1201	
-300	
-291	
-176	
-1147	
-1013	
1388	
-852	
999	
-821	
851	
1303	
230	
464	
1809	
803	
-1472	
-647	
-990	
1605	
1367	
-1790	
-1881	
250	
1021	
1145	
1001	
924	
1904	
1294	
-94	
-1451	
-1629	
1663	
725	
-1107	
2	
1374	
2197	
-1016	
-112	
361	
389	
-55	
-2142	
-145	
566	
988	
682	
1660	
-410	
-502	
-741	
-689	
170	
-247	
1323	
300	
-974	
476	
-1142	
1730	
17	
117	
-175	
96	
755	
2108	
379	
333	
221	
-2017	
-1014	
-835	
253	
1073	
67	
72	
-637	
-225	
-1500	
1681	
-1432	
-1085	
1851	
-142	
-370	
965	
1092	
-1064	
-1022	
-825	
770	
517	
304	
-1090	
327	
-243	
-1550	
-1860	
-653	
-1107	
-1108	
1702	
1627	
1567	
39	
-1153	
-1625	
-464	
453	
-770	
155	
472	
-304	
-1759	
-1359	
-2161	
708	
-926	
-399	
-1078	
-1188	
-1156	
-489	
-867	
-923	
300	
1255	
229	
-551	
-19	
839	
-1082	
-1861	
-2706	
-1147	
434	
-942	
-690	
184	
-622	
69	
1084	
282	
720	
-2423	
-845	
428	
-2177	
-151	
468	
1144	
-63	
-496	
33	
-970	
-309	
-922	
1473	
-813	
-430	
-2295	
-1762	
556	
828	
683	
-1229	
-268	
-935	
-624	
2428	
-423	
1263	
232	
-1254	
-1053	
-716	
186	
-438	
-439	
1827	
-327	
660	
-308	
-2476	
-358	
-775	
2173	
-230	
154	
697	
549	
589	
-1086	
217	
518	
1502	
774	
-23	
1145	
919	
-200	
602	
2435	
1221	
41	
1026	
1405	
339	
871	
-411	
948	
1357	
801	
-443	
1365	
-1408	
1735	
1401	
667	
-1437	
-27	
151	
933	
1743	
1451	
770	
-2425	
-3	
1827	
1192	
1712	
1688	
118	
-22	
260	
1553	
-557	
1492	
584	
1264	
-580	
518	
-594	
-204	
1265	
1837	
1186	
548	
-844	
662	
795	
302	
2122	
2186	
-87	
581	
-17	
-530	
-736	
467	
252	
1196	
1055	
388	
1742	
557	
-2572	
-1663	
1125	
220	
-1712	
-1005	
623	
900	
324	
1735	
-273	
500	
-1105	
917	
-508	
-315	
-174	
179	
-566	
298	
447	
-2237	
381	
-2005	
-878	
-285	
-1096	
-1139	
-227	
624	
31	
-1224	
-1475	
705	
-39	
-949	
-1378	
382	
-819	
-803	
-1581	
-571	
54	
-2308	
-3709	
-350	
-828	
1090	
-482	
1008	
28	
832	
1002	
-729	
-1414	
-2469	
-2419	
-2975	
-802	
212	
1304	
-749	
-2488	
-2961	
-473	
669	
1034	
-83	
489	
-1666	
-1862	
-130	
451	
1424	
-1292	
-1945	
-568	
747	
-33	
-1779	
-1415	
-1865	
-127	
140	
-2090	
510	
526	
-1033	
-1250	
1212	
951	
159	
1553	
373	
-307	
43	
-579	
444	
236	
-629	
-816	
383	
1363	
-986	
1083	
-329	
142	
1017	
342	
1815	
126	
1496	
1467	
1730	
-1001	
-188	
1565	
1489	
2242	
1208	
1055	
-1270	
-1768	
-650	
-468	
1063	
2198	
-1126	
-39	
2062	
181	
-1490	
1885	
2668	
47	
-1398	
-417	
1792	
584	
-547	
475	
357	
619	
-936	
-122	
-855	
1108	
637	
-73	
-446	
-1623	
-150	
-147	
-1031	
-1919	
848	
2516	
24	
-2914	
-1179	
-539	
-708	
262	
-863	
-564	
-876	
917	
-850	
118	
-1240	
-2297	
63	
-1505	
-405	
993	
368	
314	
-660	
-1433	
-2802	
-669	
-269	
-1963	
728	
143	
-1146	
-651	
-184	
1375	
855	
420	
-1140	
-290	
-643	
-1400	
-232	
549	
-250	
-199	
81	
-1063	
488	
-1081	
510	
176	
-88	
556	
698	
1812	
1046	
-711	
-584	
1208	
2663	
3537	
-406	
41	
-26	
-1	
716	
-179	
1307	
840	
1907	
2317	
1654	
2129	
553	
724	
894	
2142	
1203	
1299	
732	
808	
2726	
1253	
814	
-70	
3982	
1711	
1209	
-366	
1091	
2900	
923	
1637	
2017	
178	
2308	
2622	
155	
1356	
1946	
558	
2506	
222	
-689	
-44	
484	
1	
1659	
604	
763	
111	
102	
-427	
-721	
-376	
-235	
-847	
218	
-320	
573	
-2016	
-1047	
-1580	
-1273	
-209	
-2125	
-166	
-137	
-1401	
-1466	
-2565	
-2153	
-1606	
-475	
156	
-441	
-974	
-3786	
-3210	
-4732	
-2287	
-1582	
-1979	
-2118	
-3600	
-1714	
-399	
-1770	
-2979	
-3647	
-2732	
-2472	
-1467	
-4446	
-2283	
-684	
102	
-883	
-3820	
-1393	
-1249	
-2458	
-705	
-1623	
-1173	
-281	
-216	
-324	
-1456	
-1560	
-1998	
-1567	
-507	
-1766	
-751	
412	
-1188	
-415	
-2081	
1293	
2426	
538	
513	
34	
253	
884	
3006	
1783	
-74	
898	
1624	
3709	
1625	
-463	
1639	
3417	
2886	
2437	
794	
39	
3069	
3391	
2642	
1211	
4564	
2710	
2647	
1880	
2666	
3197	
1512	
3738	
1131	
1841	
3339	
2922	
2192	
1313	
2609	
3387	
1245	
2002	
1408	
2093	
3390	
1676	
1484	
602	
2685	
2827	
486	
767	
4156	
1745	
-561	
1113	
1666	
-1141	
527	
2491	
641	
1019	
-46	
-1949	
1120	
112	
-1238	
340	
2415	
123	
-1180	
627	
-1544	
-2329	
-1336	
-763	
-827	
-607	
-2101	
-2511	
-2306	
-1561	
-397	
-3312	
-2074	
-2031	
-2108	
-2556	
-2447	
-1275	
-2525	
-1589	
-1899	
-1909	
-2013	
-1548	
-974	
-1159	
-2456	
-2456	
-2560	
-1227	
-3541	
-2948	
-2067	
-797	
-327	
431	
28	
-2781	
-412	
-1677	
-3427	
-1612	
-636	
850	
-288	
-555	
-459	
-751	
-828	
-95	
-1461	
-2411	
-754	
-311	
-436	
1348	
515	
-2139	
-2286	
-380	
15	
-182	
535	
2437	
1451	
-405	
-1483	
767	
441	
-390	
-1129	
-627	
188	
1426	
472	
-735	
215	
-683	
2014	
1209	
-2088	
295	
723	
851	
-1677	
-1346	
-1286	
778	
-1134	
198	
1440	
-318	
-763	
604	
-52	
169	
1087	
1222	
-523	
-425	
522	
-377	
-19	
2130	
1421	
374	
-914	
172	
-183	
-448	
-175	
225	
895	
1142	
759	
1968	
72	
526	
1274	
-320	
-1676	
740	
-401	
-1114	
1702	
1514	
-659	
979	
1309	
794	
1340	
207	
-1213	
-623	
329	
1644	
3163	
888	
304	
1271	
2095	
94	
-5	
-1025	
-188	
2878	
1488	
629	
1723	
852	
51	
-248	
-1866	
-307	
180	
194	
2040	
1936	
-153	
-371	
-1414	
-96	
1018	
118	
-887	
-1986	
-609	
-430	
764	
-314	
-1262	
-1886	
283	
101	
-558	
693	
-1840	
-264	
-1230	
666	
-1293	
-2018	
311	
-1135	
-979	
114	
784	
-310	
-43	
-440	
-312	
-695	
-662	
496	
1848	
-468	
15	
-52	
1035	
-438	
1774	
370	
752	
103	
-162	
303	
595	
-350	
2091	
2363	
1959	
958	
1727	
2075	
945	
2	
638	
-46	
1806	
1246	
1343	
942	
718	
455	
739	
169	
3514	
2346	
1943	
514	
1026	
2475	
1332	
2642	
1606	
784	
1036	
1555	
2499	
1476	
1157	
1346	
826	
1974	
1457	
354	
1728	
727	
569	
1987	
1461	
-1102	
-92	
2948	
189	
-568	
357	
423	
-1767	
-373	
-932	
467	
299	
-2233	
163	
1048	
-1212	
131	
1440	
101	
-364	
-2071	
-1311	
-116	
-1628	
-1716	
231	
-210	
-1914	
-536	
-1212	
-586	
-1202	
-607	
282	
-2788	
-3922	
-2717	
835	
-399	
-3972	
-2870	
-1607	
-2856	
-996	
-1036	
-2770	
-2411	
-4682	
-4768	
-3055	
-1535	
-3335	
-4529	
-2744	
-2243	
-2731	
-3732	
-5324	
-4845	
-3877	
-5711	
-4797	
-3365	
-4277	
-3446	
-4802	
-3596	
-4015	
-5166	
-3464	
-4613	
-4681	
-4474	
-4310	
-3404	
-3198	
-4196	
-2199	
-1824	
-2946	
-3916	
-2040	
-1559	
-3064	
-3160	
-1135	
-1076	
-1947	
-23	
-452	
-504	
2265	
2357	
1622	
1173	
1508	
1996	
3172	
319	
2124	
4822	
3730	
5280	
5222	
3750	
3492	
5072	
6200	
6106	
6773	
5793	
7507	
5497	
4900	
4682	
5706	
7426	
6233	
7561	
5987	
6232	
4698	
6684	
5219	
4375	
6333	
4559	
5969	
5240	
3221	
3769	
4637	
3877	
1501	
3992	
4549	
3683	
1693	
1340	
1921	
1132	
1402	
363	
149	
-168	
1105	
-244	
-761	
-695	
-743	
-3243	
-1720	
-2021	
-3203	
-3533	
-3056	
-4125	
-3338	
-4265	
-3747	
-5190	
-4134	
-3675	
-6194	
-6366	
-4265	
-2802	
-5224	
-6096	
-4083	
-3264	
-5486	
-6435	
-3470	
-5578	
-4801	
-2726	
-4481	
-2837	
-3849	
-3587	
-3576	
-4060	
-3754	
-206	
-164	
-1201	
961	
1206	
1695	
537	
1431	
-260	
1781	
1822	
2476	
4513	
3136	
1809	
1960	
2778	
5464	
5504	
5449	
2691	
5012	
7153	
6016	
4676	
5222	
6890	
5602	
4134	
4374	
3839	
3734	
2964	
2048	
3580	
3646	
1451	
1282	
1321	
1851	
925	
-580	
-1238	
-2371	
-873	
-2059	
-1916	
-2795	
-3478	
-4309	
-4093	
-6278	
-6472	
-6114	
-4473	
-4399	
-5865	
-4263	
-4401	
-5287	
-4974	
-3283	
-3983	
-4063	
-4021	
-5099	
-4105	
-2092	
-2582	
-449	
-1827	
-1681	
-1154	
383	
858	
459	
1421	
1067	
3434	
3359	
2588	
3837	
5201	
2871	
3702	
5236	
6625	
5471	
5783	
6169	
5981	
6262	
5770	
6103	
5664	
5841	
4240	
5596	
5738	
5907	
5019	
3084	
2288	
693	
1942	
2061	
1540	
-189	
-357	
-15	
-1007	
-2087	
-2193	
-2631	
-3746	
-4171	
-3628	
-3879	
-4942	
-3467	
-4934	
-5356	
-7159	
-6005	
-4728	
-4918	
-5126	
-5486	
-5178	
-2511	
-3462	
-2470	
-4953	
-2566	
-1053	
-821	
-3109	
-1397	
2286	
2950	
1318	
1835	
2468	
2724	
3023	
4677	
3518	
3447	
4847	
4071	
4616	
2874	
3702	
4496	
1850	
3711	
6486	
5587	
2194	
1056	
1648	
1909	
1354	
226	
532	
898	
-529	
-1672	
-4121	
-3674	
-3402	
-2384	
-4983	
-5143	
-4746	
-5290	
-5150	
-5689	
-6432	
-5474	
-5080	
-5460	
-6037	
-6650	
-7282	
-7073	
-7664	
-6237	
-7305	
-6962	
-5967	
-4581	
-3041	
-3243	
-3612	
-4149	
-4632	
-2248	
-2070	
-2922	
-2257	
-475	
474	
-1859	
-1111	
97	
1618	
243	
-2094	
673	
1312	
70	
90	
1397	
2077	
-1054	
-1566	
769	
534	
2318	
2156	
-950	
-256	
632	
1241	
2462	
865	
778	
367	
904	
634	
1306	
2273	
1819	
1697	
1578	
2372	
3050	
3570	
4617	
5870	
4460	
4619	
6443	
5022	
5297	
5826	
7182	
9929	
9020	
9067	
8708	
7628	
7680	
8603	
9259	
7788	
10933	
10610	
10488	
10125	
8553	
7445	
8690	
9165	
7448	
6859	
7154	
7365	
5788	
2112	
3371	
2776	
3634	
3142	
1519	
785	
368	
-1009	
-1989	
-3938	
-4421	
-3202	
-4341	
-5034	
-7153	
-8081	
-9237	
-10607	
-12497	
-12907	
-13724	
-13505	
-16613	
-17164	
-18975	
-19723	
-19093	
-19921	
-22540	
-21387	
-23513	
-23487	
-21159	
-22409	
-22216	
-22098	
-21160	
-22641	
-20246	
-18027	
-18327	
-16232	
-13607	
-13339	
-13008	
-11666	
-7663	
-3745	
-2795	
-238	
920	
3871	
5855	
8089	
10673	
13350	
15460	
17674	
18801	
21940	
22849	
24527	
27292	
28586	
31003	
29150	
31309	
31272	
33523	
34809	
35096	
33699	
30914	
30904	
30129	
30719	
28197	
25644	
23187	
24594	
19540	
17909	
16063	
13708	
12083	
9545	
8154	
4307	
583	
-855	
-2284	
-5357	
-8529	
-12122	
-11962	
-14362	
-16048	
-15440	
-16925	
-19836	
-19520	
-19768	
-21925	
-20644	
-21248	
-20898	
-22148	
-21797	
-18923	
-21100	
-19666	
-19113	
-17457	
-16772	
-15099	
-14020	
-12274	
-11994	
-11845	
-9004	
-7380	
-7796	
-4834	
-6939	
-2715	
-1701	
-1318	
-2092	
-277	
711	
968	
2010	
1767	
779	
3097	
4533	
3158	
1911	
3955	
4240	
2200	
2609	
1362	
1473	
2440	
-40	
-1693	
-427	
1793	
716	
-505	
-679	
125	
1174	
-1006	
594	
463	
680	
-118	
540	
1254	
1263	
3537	
3370	
4834	
4414	
6590	
7349	
7104	
9738	
10326	
12392	
14010	
16240	
15507	
15763	
15895	
17718	
19132	
18285	
16919	
16509	
18189	
17904	
19690	
17002	
13952	
12297	
10797	
10338	
7045	
4546	
2879	
2491	
-1471	
-4168	
-8028	
-8756	
-11854	
-14137	
-16392	
-17291	
-22111	
-25000	
-28218	
-29376	
-31003	
-32604	
-33661	
-33708	
-35036	
-34041	
-32332	
-33322	
-32073	
-30986	
-28338	
-26334	
-23700	
-22064	
-18785	
-16624	
-13721	
-8577	
-6615	
-5192	
-1564	
162	
3441	
7581	
8834	
12207	
14014	
15769	
17738	
19192	
19842	
20615	
20656	
21431	
22483	
22539	
21526	
21837	
18903	
17018	
16510	
17302	
15459	
13100	
12250	
10026	
9997	
7670	
4283	
4297	
2527	
-12	
-834	
-1485	
-3110	
-4526	
-3396	
-5381	
-4354	
-5947	
-6454	
-5640	
-5718	
-5188	
-4312	
-2937	
