Club Type	Driver
Sample Freq	17045
Radar Freq 10.5 GHz
Voltage A2D Data:	
19506	
8072	
6008	
7470	
4734	
1568	
-498	
-300	
-1268	
-1930	
-4823	
-6771	
-9243	
-10671	
-10327	
-12632	
-14723	
-15882	
-15278	
-16181	
-17566	
-17810	
-17753	
-17937	
-18835	
-18029	
-20115	
-19613	
-18008	
-15813	
-15135	
-15666	
-16340	
-14614	
-14189	
-11240	
-9410	
-7754	
-5675	
-5385	
-4876	
-3026	
-158	
2614	
4718	
6145	
8285	
9006	
9145	
9166	
11603	
13059	
16298	
16957	
16706	
19790	
17027	
20084	
21364	
20190	
17290	
17423	
19973	
20742	
19493	
16774	
16464	
14609	
11634	
13036	
10648	
11163	
10706	
9010	
6232	
5198	
3595	
1260	
-2801	
-5568	
-6125	
-6184	
-8125	
-8761	
-8171	
-11110	
-12290	
-15603	
-17488	
-18084	
-18875	
-18046	
-20426	
-17776	
-17366	
-18484	
-18722	
-19404	
-20729	
-20183	
-16902	
-17292	
-14124	
-14476	
-15769	
-14682	
-12248	
-8781	
-8671	
-6624	
-3874	
-4929	
-3211	
-2422	
176	
4021	
8099	
7222	
8063	
10990	
11489	
12535	
15059	
17432	
18080	
18675	
18231	
21337	
21190	
20701	
19683	
19799	
21204	
17995	
19956	
18854	
18818	
18628	
14139	
12618	
15023	
12388	
12295	
11851	
8835	
5932	
2715	
-435	
-727	
-1999	
-6013	
-8302	
-9667	
-10880	
-12122	
-15120	
-15977	
-15045	
-17331	
-19694	
-19790	
-20196	
-21463	
-23230	
-21483	
-21056	
-20815	
-20809	
-21883	
-22614	
-19975	
-17688	
-15688	
-13726	
-12444	
-11061	
-11965	
-9743	
-4279	
-2695	
-1063	
-1022	
1294	
2852	
4748	
6832	
8419	
11599	
12750	
15338	
13957	
15973	
15995	
18166	
22343	
23293	
22966	
22302	
22355	
21157	
23821	
21121	
18751	
18500	
19087	
19328	
16368	
15426	
13764	
11414	
9851	
6570	
4102	
5153	
1244	
-928	
-2669	
-5563	
-8374	
-11402	
-12848	
-13085	
-16415	
-17157	
-16163	
-17906	
-19392	
-20134	
-20299	
-18904	
-22617	
-22701	
-22473	
-23808	
-21587	
-21093	
-19578	
-19145	
-18284	
-19162	
-16716	
-13308	
-12341	
-10836	
-8523	
-6242	
-6932	
-2063	
-7	
1728	
5988	
6223	
9282	
10821	
14572	
13558	
15483	
19509	
20510	
20443	
23274	
21660	
22896	
22310	
25021	
22661	
22737	
22840	
23727	
23370	
19409	
19321	
19070	
15829	
13392	
10662	
10263	
8179	
7036	
2923	
2099	
-1870	
-3979	
-5099	
-8458	
-10217	
-12500	
-13532	
-17556	
-19733	
-19994	
-20619	
-20522	
-20273	
-24721	
-27004	
-26155	
-26012	
-25507	
-26074	
-26910	
-24364	
-22072	
-20133	
-16486	
-17411	
-15667	
-13720	
-12972	
-11059	
-8770	
-6463	
-3953	
546	
4207	
6474	
9441	
10294	
10530	
14595	
15741	
16536	
19240	
21102	
23113	
25578	
26526	
25751	
28763	
26777	
28370	
28198	
28099	
27810	
25287	
25881	
24140	
21810	
20369	
18896	
18622	
13023	
11617	
7740	
4702	
2377	
-371	
-4006	
-8391	
-10050	
-15756	
-17719	
-17607	
-19722	
-21605	
-24262	
-25057	
-28068	
-28953	
-28040	
-27489	
-28158	
-31625	
-31371	
-30102	
-28313	
-25047	
-27009	
-25007	
-23466	
-21628	
-21690	
-19661	
-14688	
-13742	
-10009	
-11132	
-4607	
961	
4604	
7187	
6286	
9998	
13490	
18486	
22301	
21825	
23739	
26160	
27674	
28449	
32159	
33528	
32556	
33434	
32753	
30471	
29035	
29099	
27997	
25606	
25148	
24443	
22649	
18031	
13509	
12778	
12411	
7686	
8159	
3538	
-1962	
-3439	
-4959	
-6576	
-9360	
-12127	
-16100	
-15853	
-19890	
-24135	
-23505	
-25468	
-26414	
-25164	
-27668	
-30129	
-31541	
-29027	
-30110	
-30499	
-28556	
-29249	
-26027	
-25364	
-24332	
-20610	
-18571	
-17387	
-13229	
-10004	
-9487	
-6762	
-6061	
-3977	
-681	
3182	
6456	
9651	
11814	
12236	
15567	
16588	
17687	
20675	
20386	
22717	
25663	
24938	
24573	
26924	
28299	
27492	
27387	
26096	
26197	
22894	
24067	
22658	
20983	
19379	
15683	
15237	
15112	
12853	
8097	
6237	
4458	
2057	
-2774	
-3663	
-4601	
-6722	
-10097	
-13374	
-12957	
-14514	
-16249	
-16786	
-21915	
-20996	
-20807	
-20914	
-25609	
-26027	
-23756	
-24081	
-22162	
-22934	
-21830	
-21891	
-19853	
-20570	
-18024	
-19527	
-17649	
-17404	
-13614	
-10746	
-9114	
-4616	
-2410	
-1068	
181	
1831	
4949	
5983	
8236	
9357	
12796	
12104	
14810	
14940	
16038	
18774	
21280	
20325	
20772	
20818	
20211	
20507	
20204	
18483	
19739	
18437	
19261	
19330	
16328	
14911	
15587	
12106	
8774	
8990	
6072	
2337	
2093	
1039	
665	
-983	
-3233	
-3472	
-4133	
-9895	
-12340	
-13176	
-11952	
-13861	
-15573	
-16623	
-16656	
-18033	
-18218	
-16841	
-19009	
-17776	
-17678	
-17795	
-18052	
-17595	
-13790	
-12808	
-15317	
-17100	
-13315	
-10082	
-8419	
-8447	
-5366	
-3567	
-1688	
-821	
699	
2816	
3706	
7602	
7650	
7238	
7240	
10378	
12067	
12033	
15955	
14367	
14637	
14772	
14108	
14720	
15727	
16772	
16913	
16714	
15643	
14456	
12410	
10965	
11431	
12265	
10057	
7940	
7160	
5685	
3424	
2552	
4083	
2056	
1206	
494	
-933	
-3632	
-4732	
-4868	
-7090	
-6901	
-6034	
-7422	
-7800	
-10360	
-9432	
-8694	
-11964	
-11048	
-12571	
-12880	
-12516	
-14262	
-11105	
-11622	
-13504	
-14442	
-11922	
-8938	
-7510	
-7148	
-7340	
-7495	
-8142	
-8444	
-4261	
-2660	
-2117	
-1638	
-3491	
-2552	
-703	
501	
3501	
3195	
3411	
5240	
5900	
5445	
8094	
6924	
10263	
8235	
7763	
9908	
10324	
11279	
10476	
9611	
8154	
10577	
9358	
8779	
10053	
10501	
6804	
4287	
7455	
8800	
5033	
3599	
1003	
3545	
3020	
3800	
3515	
1169	
30	
-160	
-1557	
-2041	
-565	
-2075	
-2656	
-2095	
-3311	
-5931	
-6514	
-5965	
-7756	
-8508	
-7212	
-9122	
-9480	
-7381	
-7995	
-8478	
-7910	
-8201	
-8488	
-8564	
-6687	
-4924	
-4332	
-4151	
-4870	
-4006	
-4247	
-4396	
-3061	
-3687	
-3974	
-2699	
-2373	
-3822	
-169	
252	
-798	
-767	
114	
2451	
4103	
3649	
5739	
6727	
5769	
5756	
7539	
6727	
6838	
6945	
6924	
5228	
5239	
7609	
6897	
5693	
6410	
7347	
6269	
6987	
7033	
5956	
4417	
5380	
9687	
7031	
6769	
5220	
1831	
2899	
3264	
2213	
-133	
-635	
-2843	
1622	
449	
-1330	
-2225	
-1718	
-4330	
-2220	
-5913	
-5172	
-5299	
-4923	
-4877	
-4842	
-3519	
-4346	
-3690	
-3986	
-3017	
-6177	
-5061	
-3687	
-5308	
-4113	
-3149	
-3242	
-3743	
-3451	
-3588	
-2890	
-1644	
-948	
-1523	
-1710	
-904	
1527	
-173	
-944	
1889	
1422	
-496	
-322	
1988	
2409	
3280	
2691	
1615	
1851	
2012	
1151	
3339	
2518	
-868	
1393	
2159	
459	
1088	
2179	
1287	
-538	
-89	
497	
13	
1108	
-401	
2684	
1358	
-24	
-1880	
397	
198	
1004	
327	
-1350	
-3362	
-1766	
-1660	
-783	
-1094	
294	
84	
86	
-1905	
-3272	
-3003	
-3578	
-2988	
-2582	
-2706	
-2298	
-2588	
-1511	
-827	
-2172	
-1799	
308	
-1787	
-899	
-1755	
-1971	
-2989	
-3230	
1760	
2521	
-2698	
-3161	
2368	
792	
-187	
717	
-1360	
15	
-479	
2152	
-878	
645	
2433	
2709	
2482	
2991	
2087	
-499	
-1019	
2238	
1316	
3469	
2385	
954	
3621	
1571	
1009	
-455	
1195	
537	
-1617	
-162	
101	
-325	
974	
1576	
982	
-471	
-448	
844	
1330	
155	
1790	
913	
28	
-482	
-417	
-75	
-1445	
-142	
-3910	
-4574	
516	
1958	
470	
1123	
-1498	
561	
132	
-507	
284	
813	
1046	
-140	
-207	
-851	
-1614	
-1899	
-913	
971	
83	
171	
243	
-170	
-1989	
-290	
-761	
-2049	
-475	
360	
-840	
-1691	
-1396	
67	
131	
-2015	
-1152	
1099	
127	
-2454	
-520	
-64	
-1056	
-1272	
-861	
644	
1311	
773	
286	
-519	
1447	
3287	
-156	
-1888	
809	
2422	
1658	
354	
1913	
83	
1370	
354	
-120	
985	
2400	
3091	
2499	
369	
-881	
514	
-471	
3297	
2539	
821	
1691	
452	
2681	
514	
456	
519	
-225	
34	
-392	
-395	
998	
51	
3002	
2267	
-860	
1290	
1536	
-14	
-116	
-229	
1410	
366	
656	
1090	
694	
191	
158	
-1241	
-295	
-20	
2687	
1202	
880	
-667	
-48	
2168	
1855	
145	
-7	
466	
1933	
-1208	
-1026	
-10	
-732	
305	
-337	
-711	
-939	
392	
435	
312	
499	
-1273	
-46	
730	
823	
1150	
-1023	
1974	
2115	
1314	
-343	
680	
-823	
-824	
267	
-496	
1911	
1318	
-1338	
-2328	
161	
693	
1549	
-1838	
-1630	
-866	
860	
1934	
-1480	
-2739	
-2992	
-2925	
-1741	
-771	
-278	
-2162	
292	
-126	
-2013	
-235	
-2658	
-1579	
382	
1244	
-1725	
-1796	
-1182	
-1959	
-1924	
-1288	
-3185	
-2913	
-3214	
-627	
-1469	
-253	
128	
-1625	
-324	
2133	
-49	
-2895	
-3830	
-2781	
-4947	
-3976	
-1321	
-839	
93	
-833	
-2107	
-1934	
-2915	
-2119	
-2940	
-1506	
-294	
-424	
-1370	
-919	
-2574	
-68	
-1880	
-889	
-23	
-144	
-400	
-520	
-663	
-85	
399	
-344	
528	
236	
1279	
976	
2613	
-562	
-1663	
557	
-81	
2680	
2806	
1348	
826	
2040	
-193	
2112	
4590	
3176	
857	
1217	
3423	
1111	
2029	
2155	
3274	
3678	
1928	
-86	
2312	
2682	
1323	
2175	
2831	
3655	
3474	
2796	
3312	
-870	
-268	
3140	
3651	
2621	
-68	
1424	
1395	
-865	
2139	
3124	
-644	
-893	
554	
-502	
1659	
1539	
706	
-503	
-295	
-276	
115	
-2245	
-3686	
-960	
-1927	
-3895	
-3156	
45	
-1211	
-4077	
-2396	
-2856	
-2649	
-3266	
-3245	
-2270	
-370	
-307	
-2650	
-4213	
-3762	
-1999	
-347	
468	
-3110	
-1475	
-178	
-3233	
-2364	
-871	
-1560	
-1285	
589	
-537	
324	
2535	
1597	
1607	
-729	
-1797	
2191	
5397	
2916	
4899	
4865	
2759	
4065	
4318	
3062	
3114	
3504	
4086	
3629	
4284	
2939	
5105	
4850	
4802	
4823	
2592	
5267	
4373	
4707	
5410	
3619	
3726	
5056	
2110	
2348	
2022	
1023	
70	
2560	
2982	
3304	
1648	
1994	
-2316	
-1135	
-1648	
-61	
-1942	
-2839	
-3379	
-2834	
-2096	
-4657	
-6714	
-5854	
-4183	
-3472	
-5255	
-5358	
-3733	
-3512	
-3642	
-6851	
-3997	
-5862	
-6924	
-5009	
-4624	
-3357	
-3270	
-5095	
-4516	
-3882	
-3998	
-4094	
-2615	
-3708	
-3955	
-162	
-838	
-1869	
-2132	
-3780	
-1851	
-2498	
-870	
984	
1425	
1619	
-712	
-1111	
-1186	
281	
3601	
2994	
1661	
1126	
2317	
1487	
3124	
4546	
5739	
4462	
3907	
2449	
1172	
1041	
1724	
1409	
1423	
2569	
1438	
2334	
2500	
2313	
1681	
2609	
2485	
1865	
301	
693	
936	
277	
2338	
1191	
47	
2246	
302	
-915	
-2109	
-1090	
-397	
-2195	
-2810	
-2724	
-793	
-407	
-130	
-1965	
-3408	
-1834	
-433	
-2717	
-2771	
-1723	
-1461	
-896	
-3319	
-1068	
-2835	
-1286	
-3629	
-3307	
-1391	
-3489	
-2809	
-2842	
-2653	
-3069	
-5336	
-2623	
-4336	
-3287	
-1827	
-4594	
-2132	
-3191	
-3359	
-3572	
-226	
-2754	
-2624	
-3351	
-5777	
-2599	
-178	
536	
-1510	
-24	
97	
-308	
9	
377	
-1084	
-563	
546	
1658	
1014	
2797	
2875	
1817	
1980	
1544	
2728	
4755	
5248	
3787	
5867	
5554	
4908	
5057	
4523	
4841	
7394	
9383	
7299	
8834	
11533	
7838	
6518	
5479	
5545	
5977	
6285	
8001	
10325	
8505	
6440	
4916	
3152	
5359	
4747	
4368	
610	
2216	
2418	
425	
-2083	
-2213	
-1029	
-1167	
-1478	
-3403	
-1521	
-2714	
-3117	
-5935	
-5819	
-6590	
-4972	
-4979	
-8160	
-8282	
-7816	
-5566	
-6025	
-9085	
-9491	
-7812	
-8675	
-7114	
-8451	
-7402	
-6042	
-5334	
-5407	
-6028	
-5972	
-5760	
-2928	
-2322	
-3876	
-2963	
-2536	
-1180	
-1003	
-2489	
-546	
996	
3336	
4523	
5325	
4737	
7121	
7528	
10309	
7959	
6831	
7505	
8588	
9387	
12319	
12561	
13315	
12564	
11376	
11629	
12842	
11229	
11796	
13615	
11872	
11512	
10656	
10149	
8812	
6641	
6125	
6465	
6129	
4822	
5672	
4977	
3481	
4109	
3545	
155	
-4511	
-5149	
-6216	
-4878	
-7075	
-8834	
-11138	
-11392	
-11631	
-13334	
-12189	
-15337	
-13422	
-16579	
-18947	
-16143	
-19122	
-19185	
-19176	
-21377	
-19914	
-18301	
-20827	
-19915	
-18305	
-15560	
-15762	
-16262	
-14790	
-12312	
-9932	
-8317	
-7789	
-6269	
-4626	
-5309	
-1447	
-182	
2013	
6624	
5665	
7445	
8621	
9873	
11934	
14012	
16482	
17270	
17857	
19772	
19519	
20405	
22273	
21154	
20039	
19270	
22423	
20415	
17955	
19666	
17971	
16992	
14899	
12636	
11731	
10889	
6631	
7116	
5065	
827	
-503	
-3741	
-8466	
-9945	
-9971	
-14406	
-15141	
-17860	
-19029	
-18498	
-22935	
-26892	
-27404	
-26943	
-26507	
-28588	
-28052	
-29459	
-29814	
-29235	
-27587	
