Club Type	Wedge
Sample Freq	17045
Radar Freq 10.5 GHz
Voltage A2D Data:	
-4104	
-44	
-741	
-866	
463	
-177	
1176	
-54	
1036	
-475	
-236	
-159	
880	
196	
-51	
-696	
631	
1258	
-1438	
-2788	
-2020	
-91	
1980	
259	
797	
22	
-80	
390	
1107	
-76	
-1249	
-881	
-346	
-1927	
123	
431	
679	
866	
735	
-170	
-1398	
-879	
1065	
-818	
656	
389	
2352	
-708	
-1025	
-1163	
-841	
-838	
-1645	
392	
301	
66	
981	
-309	
-1884	
-1990	
208	
-1106	
2475	
1294	
643	
-225	
-77	
-522	
-1293	
1336	
1924	
131	
110	
-1773	
-1632	
636	
-98	
-101	
-776	
1319	
-772	
1183	
1795	
7	
480	
-1474	
-851	
-25	
1604	
-446	
-1505	
-3051	
836	
822	
984	
-929	
-831	
-314	
-320	
492	
-603	
262	
980	
-254	
-218	
529	
-13	
-891	
-263	
-1103	
330	
-1453	
-1244	
-106	
601	
1063	
-72	
697	
-120	
1383	
-379	
1051	
-1112	
264	
1157	
-335	
-740	
-1317	
-446	
1245	
1058	
719	
-367	
-383	
-1158	
-1363	
-126	
1253	
-1461	
759	
1132	
-863	
926	
599	
-1485	
-755	
-191	
2365	
-1533	
1123	
-73	
2289	
1926	
-974	
632	
203	
-1388	
1400	
-1844	
-2058	
-8	
1891	
99	
-1710	
-873	
704	
-1521	
-1008	
-767	
320	
1831	
859	
35	
-324	
-1367	
-1629	
1856	
1850	
898	
-68	
-608	
324	
489	
295	
-67	
551	
1851	
-395	
-968	
1669	
-2028	
-615	
1419	
1638	
781	
-924	
1282	
706	
-199	
-1721	
473	
2298	
830	
1264	
-2064	
-667	
-1233	
1687	
946	
248	
2161	
-159	
731	
925	
-1988	
-1600	
-202	
765	
1608	
-140	
191	
-1131	
-2519	
-667	
-803	
715	
1274	
1095	
-113	
1501	
923	
-513	
-1009	
531	
1949	
1652	
-947	
1757	
484	
-562	
-1914	
167	
1807	
-534	
76	
2845	
161	
-859	
-899	
1322	
-1623	
-645	
771	
1886	
945	
126	
-553	
-139	
635	
752	
-490	
-224	
1526	
1591	
53	
171	
93	
-1386	
-441	
-1209	
-447	
-176	
-240	
-1069	
-717	
786	
1010	
-529	
184	
698	
-306	
-745	
1721	
1523	
397	
-1402	
-122	
-482	
387	
-819	
-438	
853	
-191	
-601	
1160	
439	
1004	
639	
-1324	
-1413	
-1608	
-1298	
-1107	
337	
-69	
-1315	
808	
878	
-21	
351	
-953	
289	
-672	
28	
-1386	
-76	
1699	
822	
-268	
-662	
-2294	
-760	
-199	
-1277	
776	
-1753	
-1193	
-591	
1118	
-13	
-179	
-557	
609	
-31	
-646	
-1247	
-753	
-1370	
-219	
-571	
-1407	
2155	
260	
521	
-722	
169	
-1201	
-1166	
-2119	
243	
-560	
1386	
676	
-305	
-752	
-1077	
1589	
-468	
-1602	
-2317	
614	
1718	
755	
24	
-728	
-2178	
484	
60	
-356	
-123	
1567	
717	
-788	
-1180	
-1896	
213	
-1022	
-905	
-1022	
-1097	
-74	
1579	
1473	
90	
-1126	
-901	
-1548	
347	
923	
-1063	
-1079	
1311	
383	
-709	
-126	
-657	
-314	
-164	
909	
27	
198	
-2176	
-720	
226	
-337	
1355	
1941	
304	
-1030	
-1302	
-1804	
-943	
644	
986	
1201	
-803	
-76	
1873	
648	
-773	
-1182	
-1880	
-601	
-656	
1042	
1836	
708	
408	
552	
-261	
1180	
87	
-2139	
-1249	
654	
411	
1096	
554	
-799	
1617	
316	
3	
2329	
1455	
-308	
1387	
141	
-837	
1979	
-109	
2196	
82	
1239	
-180	
368	
769	
410	
2102	
2177	
926	
1564	
1390	
1749	
-109	
2601	
685	
543	
-1100	
-287	
1914	
2022	
970	
1201	
1159	
3556	
2419	
797	
778	
-335	
181	
1533	
-773	
3746	
3100	
1436	
866	
1026	
854	
1198	
283	
639	
618	
1619	
2714	
638	
2124	
1937	
2349	
-252	
207	
1763	
993	
1567	
2061	
590	
319	
1027	
378	
647	
653	
1861	
1402	
659	
1948	
-1892	
857	
-677	
435	
1184	
-96	
579	
-1569	
-1712	
-775	
-862	
565	
917	
-1909	
-524	
-1487	
-1456	
-621	
-1276	
-1107	
368	
-704	
-2848	
-1257	
-761	
226	
-2342	
422	
-1999	
-874	
-3066	
-2494	
-1140	
-973	
-2040	
-1941	
-1759	
-1707	
-3063	
-2610	
-1080	
-1661	
-251	
-4582	
28	
806	
-1325	
-2750	
-5123	
-4585	
-4396	
-2670	
-1115	
1237	
-887	
-394	
-1205	
-3993	
-3970	
-2640	
-3278	
-629	
-1318	
1911	
-2634	
-2575	
-1105	
-1853	
-1830	
-909	
-1771	
-3553	
-1163	
-501	
-3453	
-3115	
-1027	
-488	
-252	
-774	
-1126	
-2245	
-2660	
-1400	
-589	
129	
-1466	
116	
-346	
868	
305	
1638	
-982	
255	
1102	
42	
-1564	
225	
1140	
1909	
294	
-603	
362	
1442	
1364	
973	
1512	
1064	
512	
122	
1765	
579	
406	
731	
1238	
2227	
289	
2457	
2137	
1287	
2774	
1789	
-1260	
671	
1744	
3489	
2168	
1976	
-805	
1906	
1206	
3396	
2885	
671	
375	
1120	
1658	
484	
1449	
2544	
3070	
1731	
889	
1165	
1237	
2468	
-2164	
-2541	
501	
1606	
1886	
1906	
397	
136	
1060	
-1380	
85	
1508	
747	
-624	
-1276	
-1081	
1029	
598	
743	
-1000	
-1194	
-550	
881	
161	
560	
1681	
-645	
-1860	
-1246	
-935	
-929	
-2415	
774	
378	
-1075	
-868	
1598	
-39	
1190	
1817	
575	
-2863	
-322	
-380	
-1200	
-1332	
685	
1221	
-1112	
458	
764	
1130	
-744	
437	
-140	
-1921	
361	
2082	
-267	
1700	
2128	
437	
-843	
205	
-685	
-1310	
1563	
213	
564	
1640	
-50	
398	
1358	
1745	
-90	
-460	
192	
-979	
302	
1232	
-1029	
-365	
1720	
-963	
-1421	
282	
2492	
1242	
-1149	
1152	
2021	
-2891	
-671	
2495	
1005	
-329	
516	
-1664	
-1274	
-2080	
-2687	
-386	
-1939	
-1290	
-243	
-2072	
-971	
-1433	
-750	
-1248	
-2934	
-340	
-3479	
-2679	
-2830	
-2071	
-749	
-636	
-701	
-2925	
-5086	
-2729	
-1944	
-2942	
-3896	
-2350	
-1075	
-1105	
-225	
-2942	
-2606	
323	
-2543	
-2583	
-4214	
-2223	
-1871	
-1403	
-2003	
-2063	
-2609	
133	
-1409	
-976	
976	
-13	
-1271	
-748	
402	
680	
1547	
900	
494	
-747	
272	
726	
975	
1775	
2483	
1000	
2425	
3025	
3863	
1946	
1033	
3939	
3564	
3585	
4382	
4458	
4946	
4297	
3906	
4922	
4487	
5105	
6738	
4837	
3895	
2907	
4040	
6438	
5729	
4876	
4592	
3459	
4604	
5149	
6048	
4372	
3645	
3625	
3494	
6743	
4248	
2500	
3272	
3421	
3133	
2720	
3335	
3257	
1486	
2677	
-81	
1065	
545	
2251	
1281	
895	
-484	
-1366	
-2462	
-3235	
-2811	
22	
1027	
-2437	
-4616	
-2402	
-3220	
-2805	
-2438	
-3531	
-4484	
-5302	
-2686	
-2931	
-6052	
-6199	
-4272	
-4920	
-5652	
-4737	
-4034	
-6991	
-4771	
-3712	
-5160	
-6267	
-6499	
-6540	
-5675	
-4416	
-3631	
-6693	
-5317	
-4156	
-4318	
-4007	
-4807	
-3660	
-2492	
-2625	
-4024	
-3313	
-733	
-1080	
-2749	
-3913	
-1214	
-1823	
-510	
-191	
-595	
-410	
-2016	
-151	
-97	
229	
1015	
1392	
236	
1438	
1731	
3026	
3212	
2723	
3330	
2523	
4019	
2115	
2965	
1873	
2677	
4226	
4914	
3416	
3199	
3608	
3850	
4153	
2776	
2444	
5961	
6014	
3476	
5099	
4753	
2395	
3228	
2055	
2493	
4111	
5443	
2328	
2997	
-54	
2225	
2837	
3847	
2311	
1783	
2655	
737	
997	
-1055	
-48	
468	
-754	
200	
-1540	
-1312	
-678	
-3513	
-3251	
-2234	
-2823	
-3350	
-3263	
-1541	
-2777	
-3698	
-5193	
-3586	
-4665	
-3643	
-3881	
-5541	
-4676	
-3865	
-3102	
-2732	
-2738	
-4488	
-1495	
-2567	
-4732	
-5324	
-903	
-238	
-1542	
-3832	
-2275	
-1262	
-1336	
-1118	
-957	
-654	
-2200	
-1050	
-693	
1057	
1674	
1109	
924	
401	
47	
2072	
2601	
2704	
2345	
594	
3420	
1561	
1423	
1122	
2128	
3524	
3572	
2396	
2781	
2233	
2061	
2193	
3655	
4347	
3439	
3417	
3814	
4523	
2093	
2355	
2820	
2963	
3351	
3052	
995	
78	
483	
2904	
3051	
1254	
-866	
2127	
2406	
2318	
490	
1987	
2046	
1286	
-463	
1327	
887	
1205	
78	
-1284	
-3555	
-1443	
1004	
384	
230	
-1512	
-2124	
-3211	
-1060	
-2758	
-2087	
-2289	
-3051	
-1401	
-1736	
-1347	
-2017	
-4339	
-3604	
-5563	
-2567	
-2543	
-2033	
-3308	
-2846	
-2041	
-4467	
-4530	
-3581	
-2286	
-876	
-3469	
-1380	
-3453	
-2768	
-2104	
-3008	
-1655	
-565	
-1578	
-1366	
-653	
-949	
-3173	
-1093	
-78	
-449	
1080	
-617	
-607	
-1456	
355	
-1532	
108	
2426	
-33	
-745	
1199	
172	
4	
1628	
2254	
200	
1236	
898	
1982	
2106	
412	
998	
2391	
1876	
4664	
2597	
2028	
2235	
1854	
3023	
1321	
53	
1985	
2552	
1966	
3244	
2996	
4189	
1830	
3137	
1292	
2583	
4062	
1252	
1638	
1473	
2231	
3089	
2726	
2638	
1330	
1878	
1578	
-551	
2463	
2665	
2370	
-491	
516	
640	
21	
1625	
-1112	
-2773	
-1934	
-2941	
670	
-2062	
-3167	
-3135	
-943	
-892	
-1103	
-1745	
-2618	
-3279	
-2068	
-4551	
-2076	
-981	
-2010	
-5563	
-3370	
-746	
-1474	
-1757	
-4576	
-4428	
-3042	
-3566	
-3590	
-3308	
-3011	
-2648	
-3006	
-2531	
-2337	
-2933	
-3148	
-2260	
-2118	
-2184	
-1660	
-154	
956	
-976	
-37	
-1571	
-722	
-215	
-502	
1761	
1650	
-9	
1080	
229	
2410	
2326	
2230	
4072	
4081	
3760	
3494	
3063	
4206	
4535	
3774	
4712	
4263	
4897	
4413	
4001	
4350	
4855	
3876	
4681	
6931	
5021	
5435	
5190	
2816	
2719	
2708	
2517	
2805	
2516	
1042	
1431	
807	
2176	
651	
-275	
-1419	
-232	
-2261	
-1038	
-1512	
-2114	
-1009	
-2123	
-3666	
-2518	
-4447	
-3675	
-3698	
-3332	
-1440	
-3093	
-2619	
-4790	
-5052	
-3322	
-2567	
-5381	
-2664	
-3494	
-4496	
-3772	
-4333	
-2507	
-3088	
-3618	
-2497	
-4053	
-4054	
-1341	
-1589	
-635	
-1510	
-2993	
-2444	
-968	
-1408	
-379	
-93	
-1959	
-2346	
-1487	
455	
769	
-541	
-274	
2087	
1349	
122	
2326	
2485	
3653	
3516	
3624	
4407	
3992	
3351	
3939	
4560	
4292	
5011	
3063	
4795	
6626	
7250	
3499	
1694	
2067	
3500	
2381	
1898	
3977	
3374	
2651	
1966	
132	
430	
1722	
2738	
355	
-449	
-492	
-1580	
-1604	
-725	
18	
-1224	
-1579	
-1152	
-1866	
-901	
-952	
-2972	
-3012	
-2615	
-1653	
-910	
-2044	
-1454	
-884	
-1338	
-3526	
-1707	
-2639	
-592	
-1776	
42	
-2836	
-2224	
-1197	
-730	
-2103	
-869	
-346	
-903	
367	
-799	
-770	
-846	
279	
1237	
591	
-1042	
-1968	
-1905	
-147	
1338	
756	
407	
1273	
-1165	
342	
868	
1650	
2284	
-826	
-1100	
-950	
-1142	
-861	
-537	
984	
238	
-1272	
-772	
-2644	
-1145	
-1208	
-3664	
-3331	
-3123	
-1426	
-1417	
-2321	
-2031	
-2916	
-3485	
-4494	
-4159	
-3010	
-3408	
-2816	
-397	
-2994	
-2327	
-1157	
-948	
-564	
-1752	
-800	
1708	
388	
1406	
3678	
3079	
2408	
1761	
518	
1414	
2640	
2810	
2960	
1540	
2787	
4039	
2111	
1429	
4037	
5373	
2783	
3276	
3396	
2349	
1334	
3485	
3459	
1825	
2756	
1555	
2062	
3137	
3066	
2508	
3417	
1662	
1467	
1814	
2579	
1554	
988	
1346	
3306	
2587	
1106	
2208	
1897	
-50	
-838	
-1298	
356	
-2274	
-1084	
-2553	
-3638	
-5165	
-3629	
-4741	
-4715	
-5159	
-3686	
-6553	
-6396	
-5771	
-3708	
-4283	
-5585	
-5965	
-6805	
-8591	
-9333	
-8893	
-4158	
-3691	
-2898	
-3945	
-5897	
-2431	
-2116	
-3415	
-1803	
-1043	
2363	
2201	
247	
874	
2425	
3465	
5793	
4432	
2203	
1029	
2085	
3318	
3415	
3825	
4370	
6014	
3295	
4485	
5699	
7005	
5775	
5169	
8003	
7681	
4889	
6638	
6000	
2981	
5052	
5198	
3466	
1295	
3259	
1540	
1491	
610	
-221	
-478	
-856	
-622	
-4311	
-3915	
-1725	
-3215	
-3576	
-1652	
-1352	
-1907	
-4179	
-4301	
-3337	
-711	
332	
-2274	
-2200	
815	
-1264	
-294	
486	
-1169	
-2311	
-2553	
-816	
-624	
-175	
-78	
172	
236	
-944	
-861	
-3415	
-1789	
651	
586	
123	
534	
222	
-719	
-226	
169	
-461	
587	
2680	
1824	
2044	
1321	
-3571	
111	
6410	
6649	
5934	
4178	
2269	
708	
1688	
818	
106	
798	
1154	
3010	
1852	
1571	
-324	
-2646	
-884	
-207	
962	
-1889	
-111	
-73	
-637	
953	
-2545	
-936	
-1267	
-256	
-613	
-1085	
177	
2260	
-450	
346	
-710	
2055	
1127	
2364	
3036	
3000	
2344	
2643	
2210	
2772	
2260	
2322	
1814	
2029	
1574	
1361	
1626	
2859	
3236	
2310	
1848	
1670	
3224	
2405	
2889	
2038	
2138	
2360	
951	
-444	
-979	
-779	
-790	
802	
179	
-2302	
-3935	
-3319	
-2307	
-2701	
-4550	
-4760	
-3707	
-5191	
-4707	
-5249	
-8725	
-5853	
-4790	
-6104	
-8670	
-6422	
-8770	
-7738	
-8027	
-6031	
-6293	
-5039	
-4310	
-4840	
